DESIGNATOR	MPN	DESCRIPTION
BT401	JST S2B-PH-SM4-TB(LF)(SN)	Connector Header, PH Series, 2 Position, Side Entry, 2.00mm, Solder, Surface Mount, Natural
C101 - C102	Yageo CC0805JRNPO9BN120	Capacitor: ceramic; MLCC; 12pF; 50V; C0G; ±5%; SMD; 0805
C301, C303, C305, C309, C406 - C407, C502, C511	MF-CAP-0603-1uF	Capacitor MLCC 0603 1uF 10% 25V
C302, C304, C306, C501, C503, C507, C602, C604	MF-CAP-0603-0.1uF	Capacitor MLCC 0603 0.1uF 10% 25V
C401 - C405, C601, C603	MF-CAP-1206-10uF	Capacitor MLCC 1206 10uF 10% 16V
C408	KEMET C0603C474Z4VACTU	Cap Ceramic 0.47uF 16V Y5V 20% SMD 0603 85°C Punched Paper T/R
C504, C506, C508	Nichicon UZP1E3R3MCL1GB	Cap Alum 3.3UF 20% 25V SMD
C505, C510	MF-CAP-6.3MM-100uF	Capacitor Aluminum Electrolytic 6.3mm 100uF 20% 35V
C509	MF-CAP-4MM-10uF	Capacitor Aluminum Electrolytic 4mm 10uF 20% 35V
D201 - D232	MF-LED-3228-RGB	Tri-Color RGB LED 3228 SMD PLCC-4
D401, D601	MF-LED-0603-RED	Red LED 631nm 54mcd 0603
D402, D602	MF-LED-0603-GREEN	Green LED 571nm 35mcd 0603
J101	FCI 20021121-00010C4LF	Pin header; pin strips; Minitek127; male; PIN: 10; vertical; 1.27mm
J102 - J103	Samtec SSM-102-L-DV	Headers & Wire Housings .100 (2.54 mm) Tiger Claw Surface Mount Socket Strip
J104	Samtec SSM-120-L-DV-K-TR	Headers & Wire Housings .100 (2.54 mm) Tiger Claw Surface Mount Socket Strip
J601	MF-CON-MICROUSB-RIGHT	Micro USB Connector Type B Right Angle
R101 - R103	MF-RES-0603-10K	Resistor Thick Film 0603 10K Ohm 5% 100mW 75V
R301 - R303, R501 - R504	MF-RES-0805-20K	Resistor Thick Film 0805 20K Ohm 1% 125mW 150V
R401 - R402, R404, R601	MF-RES-0603-1K	Resistor Thick Film 0603 1K Ohm 5% 100mW 75V
R403	MF-RES-0603-2K	Resistor Thick Film 0603 2K Ohm 1% 1/10W 50V
R602 - R603	MF-RES-0603-47	Resistor Thick Film 0603 47 Ohm 5% 100mW 75V
R604	TE Connectivity CRG0805F22K	Res Thick Film 0805 22K Ohm 1% 0.125W(1/8W) ±100ppm/C Pad SMD T/R
R605	Yageo RC0201FR-0747K5L	Res Thick Film 0201 47.5K Ohm 1% 1/20W ±200ppm/°C Molded SMD Paper T/R
SW101 - SW108	MF-SW-TACT-4.2MM	Tactile Switch 4.2MM
SW401	C&K Components PCM12SMTR	Switch; Slide; Ultra-Mini; SPDT; ON-ON; 300mA; 6VDC; Surface Mount; R/A; Gull Wing
U100	Rigado BMD-340-A-R	BMD-340: Bluetooth 5 + Thread
U301	ISSI IS31FL3736-QFLS4-TR	12x8 Dots Matrix LED Driver with Individual Auto Breath Function 2.7V to 5.5V Input 40-Pin QFN T/R
U401	Microchip MCP73831T-2ACI/OT	MCP73831 Series Single-Cell Li-Ion/Li-Polymer Battery Charge Controller SOT-23-5
U402	Texas Instruments LM1117IMPX-3.3/NOPB	Space saving 800-mA low-dropout linear regulator with internal current limit 4-SOT-223 -40 to 125
U403	Maxim Integrated MAX17055ETB+T	MAX17055 Series 4.9 V 18 uA Stand-Alone ModelGauge m5 Fuel Gauge - TDFN-10
U501	Cirrus Logic CS4344-CZZ	DAC 2-CH Delta-Sigma 24-bit 10-Pin TSSOP Tube
U502	Texas Instruments LM4880MX/NOPB	Dual 200 mW Audio Power Amplifier with Shutdown Mode 8-SOIC -40 to 85
U601	Silicon Labs CP2102N-A01-GQFN28	Full Speed Basic USB Type-C Controller USB 2.0 3.3V Tube 28-Pin QFN EP
U602	Texas Instruments TPD3E001DRLR	Low-Capacitance 3-Channel +/-15KV ESD-Protection Array for High-Speed Data Interfaces 5-SOT-5X3 -40 to 85
Y101	Epson FC-135 32.7680KA-A5	Crystal 0.032768MHz ±20ppm (Tol) 12.5pF FUND 70000Ohm 2-Pin CSMD T/R
